web_name,product_names,prices,product_types,urls
herogame,Game Rune Factory 4 Special Archival Edition - Nintendo Switch,"1,700,000₫",Game Nintendo Switch,https://www.herogame.vn/game-rune-factory-4-special-archival-edition-nintendo-switch
herogame,Game Crisis Core: Final Fantasy VII Reunion Collector's Edition - Nintendo Switch,"7,600,000₫",Game Nintendo Switch,https://www.herogame.vn/game-crisis-core-final-fantasy-vii-reunion-collectors-edition-nintendo-switch
nshop,SW265 - Grand Theft Auto The Trilogy The Definitive Edition GTA cho Nintendo Switch,"1,080,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/grand-theft-auto-trilogy-gta-nintendo-switch
herogame,Game Raging Loop Day One Edition - Nintendo Switch,"1,300,000₫",Game Nintendo Switch,https://www.herogame.vn/game-raging-loop-nintendo-switch
nshop,SW219 - Fitness Boxing 2 Rhythm & Exercise cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/fitness-boxing-2-nintendo-switch
nshop,SW220 - Super Mario 3D World + Bowser’s Fury cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/super-mario-3d-world-bowser-s-fury-nintendo-switch
nshop,SW224 - Bravely Default II cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/bravely-default-ii-nintendo-switch
herogame,Game Layton's MYSTERY JOURNEY: Katrielle and the Millionaires' Conspiracy - Deluxe Editio - Nintendo Switch,"980,000₫",Game Nintendo Switch,https://www.herogame.vn/game-laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy-deluxe-edition-nintendo-switch
nshop,SW225 - Persona 5 Strikers cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/persona-5-strikers-nintendo-switch
nshop,SW227A - Story of Seasons Pioneers of Olive Town cho Nintendo Switch,"1,300,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/story-of-seasons-pioneers-of-olive-town-nintendo-switch
herogame,Game River City Girls (Multi Language) - Nintendo Switch,"980,000₫",Game Nintendo Switch,https://www.herogame.vn/game-river-city-girls-multi-language-nintendo-switch
nshop,SW227B - Story of Seasons Pioneers of Olive Town Premium Edition cho Nintendo Switch,"1,990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/story-of-seasons-pioneers-of-olive-town-premium-nintendo-switch
nshop,SW228 - Overcooked! All You Can Eat,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/overcooked-all-you-can-eat-nintendo-switch
nshop,SW229 - The Legend of Heroes: Trails of Cold Steel IV Frontline Edition,"1,400,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/the-legend-of-heroes-trails-of-cold-steel-iv-nintendo-switch
herogame,Reel Fishing Rod Bundle and game Fishing Star World Tour - Nintendo Switch,"1,050,000₫",Game Nintendo Switch,https://www.herogame.vn/reel-fishing-rod-bundle-and-game-fishing-star-world-tour-nintendo-switch
nshop,SW231 - Crash Bandicoot 4 It’s About Time cho Nintendo Switch,"1,080,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/crash-bandicoot-4-nintendo-switch
nshop,SW235 - Hades cho Nintendo Switch,"1,080,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/hades-nintendo-switch
nshop,SW232 - Puyo Puyo Tetris 2 cho Nintendo Switch,"1,080,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/puyo-puyo-tetris-2-nintendo-switch
nshop,SW234 - Plants vs Zombies Battle for Neighborville Complete Edition cho Nintendo Switch,"880,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/plants-vs-zombies-battle-for-neighborville-switch
nshop,SW140 - Digimon Story Cyber Sleuth: Complete Edition cho Nintendo Switch,"1,180,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/digimon-story-cyber-sleuth-nintendo-switch
nshop,SW142 - Yooka-Laylee and the Impossible Lair cho Nintendo Switch,"780,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/yooka-laylee-impossible-lair-nintendo-switch
nshop,SW143 - Luigi's Mansion 3 cho Nintendo Switch,"1,280,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/luigi-s-mansion-3-nintendo-switch
nshop,SW146A - Pokemon Sword cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/pokemon-sword-nintendo-switch
nshop,SW165 - Bubble Bobble 4 Friends cho Nintendo Switch,"900,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/bubble-bobble-4-friends-nintendo-switch
nshop,SW146B - Pokemon Shield cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/pokemon-shield-nintendo-switch
nshop,SW162 - Dead Cells cho Nintendo Switch,"850,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/dead-cells-nintendo-switch
nshop,SW167 - Pokemon Mystery Dungeon: Rescue Team DX cho Nintendo Switch,"1,200,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/pokemon-mystery-dungeon-rescue-team-dx-nintendo-switch
nshop,SW171 - Resident Evil Triple Pack cho Nintendo Switch,"1,050,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/resident-evil-triple-pack-nintendo-switch
nshop,SW172 - Samurai Shodown cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/samurai-shodown-nintendo-switch
nshop,SW173 - Disgaea 4 Complete+ cho Nintendo Switch,"1,150,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/disgaea-4-complete-nintendo-switch
nshop,SW174 - Animal Crossing: New Horizons cho Nintendo Switch,-16%,Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/animal-crossing-new-horizons-nintendo-switch
nshop,SW175 - One Piece Pirate Warriors 4 cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/one-piece-pirate-warriors-4-nintendo-switch
nshop,SW176 - Cooking Mama Cookstar cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/cooking-mama-cookstar-nintendo-switch
nshop,SW178 - Trials of Mana cho Nintendo Switch,"880,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/trials-of-mana-nintendo-switch
nshop,SW074 - Diablo 3 Eternal Collection cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/diablo-3-eternal-collection-nintendo-switch
nshop,"SW077A - Pokemon: Let's Go, Pikachu!",-5%,Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/pokemon-lets-go-pikachu-nintendo-switch
nshop,"SW077B - Pokemon: Let's Go, Eevee!",-5%,Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/pokemon-lets-go-eevee-nintendo-switch
nshop,SW080 - Super Smash Bros. Ultimate cho Nintendo Switch,"1,350,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/super-smash-bros-ultimate-nintendo-switch
nshop,SW084 - Tales of Vesperia: Definitive Edition cho Nintendo Switch,"880,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/tales-of-vesperia-definitive-edition-nintendo-switch
nshop,SW083 - New Super Mario Bros. U Deluxe cho Nintendo Switch,"1,280,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/new-super-mario-bros-u-deluxe-nintendo-switch
nshop,SW087 - Travis Strikes Again: No More Heroes cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/travis-strikes-again-no-more-heroes-nintendo-switch
nshop,SW088 - Chocobo's Mystery Dungeon EVERY BUDDY! cho Nintendo Switch,"1,150,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/chocobos-mystery-dungeon-every-buddy-nintendo-switch
nshop,SW092 - Yoshi's Crafted World cho Nintendo Switch,"1,350,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/yoshis-crafted-world-nintendo-switch
nshop,SW094 - Final Fantasy X | X-2 HD Remaster cho Nintendo Switch,"880,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/final-fantasy-x-2-hd-remaster-nintendo-switch
nshop,SW097 - Dragon’s Dogma: Dark Arisen cho Nintendo Switch,"880,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/dragons-dogma-dark-arisen-nintendo-switch
nshop,SW099 - Mortal Kombat 11 cho Nintendo Switch,"850,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/mortal-kombat-11-nintendo-switch
nshop,SW102 - Sid Meier's Civilization VI cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/sid-meiers-civilization-vi-nintendo-switch
nshop,SW098 - Final Fantasy XII: The Zodiac Age cho Nintendo Switch,"880,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/final-fantasy-xii-the-zodiac-age-nintendo-switch
nshop,SW104 - Assassin's Creed III Remastered cho Nintendo Switch,"850,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/assassin-s-creed-iii-remastered-nintendo-switch
nshop,GSW156 - Metro Redux cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/metro-redux-nintendo-switch
nshop,GSW161 - Fishing Star World Tour Reel Fishing Rod Bundle cho Nintendo Switch,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/fishing-star-world-tour-reel-rod-nintendo-switch
nshop,GSW280 - Rabbids Party of Legends cho Nintendo Switch,"850,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/rabbids-party-of-legends-cho-nintendo-switch
nshop,Hộp thiếc Steel Book Double Pack Pokemon Scarlet & Violet,"300,000 ₫",Phụ kiện Nintendo Switch,https://www.nshop.com.vn/products/hop-thiec-steel-book-double-pack-pokemon-scarlet-violet
nshop,Hộp thiếc - Steel Book Pokemon Sword & Pokemon Shield,"350,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/steel-book-pokemon-sword-shield
nshop,Hộp thiếc Steel Book Pokemon Scarlet - hàng sưu tập chính hãng,"300,000 ₫",Phụ kiện Nintendo Switch,https://www.nshop.com.vn/products/hop-thiec-steel-book-pokemon-scarlet
nshop,SW001 - THE LEGEND OF ZELDA: BREATH OF THE WILD,"1,180,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/legend-of-zelda-breath-of-wild
nshop,Hộp thiếc Steel Book Pokemon Violet - hàng sưu tập chính hãng,"300,000 ₫",Phụ kiện Nintendo Switch,https://www.nshop.com.vn/products/hop-thiec-steel-book-pokemon-violet
nshop,Life is Strange Arcadia Bay Collection cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/life-is-strange-arcadia-bay-collection-cho-nintendo-switch
nshop,SW005 - MARIO KART 8 DELUXE,"1,300,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/mario-kart-8-deluxe
nshop,SW007 - ARMS - Game boxing cho Nintendo Switch,"1,300,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/arms-nintendo-switch
nshop,SW010 - POKKEN TOURNAMENT DX​ cho Nintendo Switch,"1,350,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/pokken-tournament-dx
nshop,SW011 - RAYMAN LEGENDS DEFINITIVE EDITION,"750,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/rayman-legends-definitive-edition
nshop,SW013 - DRAGON BALL XENOVERSE 2,"850,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/dragon-ball-xenoverse-2-switch
nshop,SW016 - SUPER MARIO ODYSSEY,"1,250,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/super-mario-odyssey
nshop,Fatal Frame Maiden of Black Water cho Nintendo Switch,"1,150,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/fatal-frame-maiden-of-black-water-cho-nintendo-switch
herogame,Game AI: THE SOMNIUM FILES nirvanA Initiative Collector's Edition - Nintendo Switch,"2,700,000₫",Game Nintendo Switch,https://www.herogame.vn/game-ai-the-somnium-files-nirvana-initiative-collectors-edition-nintendo-switch
herogame,Game 60 in 1 Game Collection - Nintendo Switch,"950,000₫",Game Nintendo Switch,https://www.herogame.vn/game-60-in-1-game-collection-nintendo-switch
herogame,Game Yonder The Cloud Catcher Chronicles - Nintendo Switch,"500,000₫",Game Nintendo Switch,https://www.herogame.vn/game-yonder-the-cloud-catcher-chronicles-nintendo-switch
herogame,Game Atelier Sophie 2: The Alchemist of the Mysterious Dream - Nintendo Switch,"1,150,000₫",Game Nintendo Switch,https://www.herogame.vn/game-atelier-sophie-2-the-alchemist-of-the-mysterious-dream-nintendo-switch
herogame,Game Triangle Strategy Collector's Edition - Nintendo Switch,"3,900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-triangle-strategy-collectors-edition-nintendo-switch
herogame,Game Builder Garage - Nintendo Switch,"900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-builder-garage-nintendo-switch
herogame,Game Triangle Strategy - Nintendo Switch,"1,300,000₫",Game Nintendo Switch,https://www.herogame.vn/game-triangle-strategy-nintendo-switch
herogame,Game Monolopy + Monolopy Madness - Nintendo Switch,"1,200,000₫",Game Nintendo Switch,https://www.herogame.vn/game-monolopy-monolopy-madness-nintendo-switch
herogame,Game Metroid™ Dread Special Edition - Nintendo Switch,"2,500,000₫",Game Nintendo Switch,https://www.herogame.vn/game-metroid-dread-special-edition-nintendo-switch
herogame,Game Super Monkey Ball Banana Mania: Anniversary Launch Edition - Nintendo Switch,"1,350,000₫",Game Nintendo Switch,https://www.herogame.vn/game-super-monkey-ball-banana-mania-anniversary-launch-edition-nintendo-switch
herogame,Game Little Devil Inside - Nintendo Switch,"1,350,000₫",Game Nintendo Switch,https://www.herogame.vn/game-little-devil-inside-nintendo-switch
herogame,Game NBA 2k22 - Nintendo Switch,"1,250,000₫",Game Nintendo Switch,https://www.herogame.vn/game-nba-2k22-nintendo-switch
herogame,Game Hot Wheels Unleashed - Nintendo Switch,"1,350,000₫",Game Nintendo Switch,https://www.herogame.vn/game-hot-wheels-unleashed-nintendo-switch
herogame,Game FIFA 22 - Nintendo Switch,"1,100,000₫",Game Nintendo Switch,https://www.herogame.vn/game-fifa-22-nintendo-switch
herogame,Game Sonic Colors: Ultimate - Nintendo Switch,"1,000,000₫",Game Nintendo Switch,https://www.herogame.vn/game-sonic-colors-ultimate-nintendo-switch
herogame,Game Rolling Sky Collection - Nintendo Switch,"400,000₫",Game Nintendo Switch,https://www.herogame.vn/game-rolling-sky-collection-nintendo-switch
herogame,Game Blood Bowl 2 - Nintendo Switch,"1,250,000₫",Game Nintendo Switch,https://www.herogame.vn/game-blood-bowl-2-nintendo-switch
herogame,Game Road Redemption - Nintendo Switch,"1,150,000₫",Game Nintendo Switch,https://www.herogame.vn/game-road-redemption-nintendo-switch
herogame,Game Monster Hunter Rise Deluxe Edition - Nintendo Switch,"1,700,000₫",Game Nintendo Switch,https://www.herogame.vn/game-monster-hunter-rise-deluxe-edition-nintendo-switch
herogame,Game Story of Season Pioneers of Olive Town Premium Edition - Nintendo Switch,"1,900,000₫",Game Nintendo Switch,https://www.herogame.vn/game-story-of-season-pioneers-of-olive-town-premium-edition-nintendo-switch
herogame,Game Monster Hunter Rise Collector's Edition - Nintendo Switch,"3,600,000₫",Game Nintendo Switch,https://www.herogame.vn/game-monster-hunter-rise-collectors-edition-nintendo-switch
herogame,Game WarioWare™: Get It Together! - Nintendo Switch,"1,150,000₫",Game Nintendo Switch,https://www.herogame.vn/game-warioware-get-it-together-nintendo-switch
